"","STG","SCG","STR","LPR","PEG","UNS"
"82",0.295,0.25,0.26,0.12,0.67,"Middle"
"83",0.315,0.32,0.29,0.29,0.62,"Middle"
"84",0.25,0.29,0.15,0.48,0.26,"Low"
"85",0.27,0.1,0.1,0.7,0.25,"Low"
"86",0.248,0.3,0.31,0.2,0.03,"very_low"
"87",0.325,0.25,0.38,0.31,0.79,"High"
"88",0.27,0.31,0.32,0.41,0.28,"Low"
"89",0.29,0.29,0.4,0.78,0.18,"Low"
"90",0.29,0.3,0.52,0.09,0.67,"Middle"
"91",0.258,0.28,0.64,0.29,0.56,"Middle"
"92",0.32,0.255,0.55,0.78,0.34,"Middle"
"93",0.251,0.265,0.57,0.6,0.09,"very_low"
"94",0.288,0.31,0.79,0.23,0.24,"Low"
"95",0.323,0.32,0.89,0.32,0.8,"High"
"96",0.255,0.305,0.86,0.62,0.15,"Low"
"97",0.295,0.25,0.73,0.77,0.19,"Low"
"98",0.258,0.25,0.295,0.33,0.77,"High"
"99",0.29,0.25,0.29,0.29,0.57,"Middle"
"100",0.243,0.27,0.08,0.42,0.29,"Low"
"101",0.27,0.28,0.18,0.48,0.26,"Low"
"102",0.299,0.32,0.31,0.33,0.87,"High"
"103",0.3,0.27,0.31,0.31,0.54,"Middle"
"104",0.245,0.26,0.38,0.49,0.27,"Low"
"105",0.295,0.29,0.31,0.76,0.1,"Low"
"106",0.29,0.3,0.56,0.25,0.67,"Middle"
"107",0.26,0.28,0.6,0.29,0.59,"Middle"
"108",0.305,0.255,0.63,0.4,0.54,"Middle"
"109",0.32,0.27,0.52,0.81,0.3,"Middle"
"110",0.299,0.295,0.8,0.37,0.84,"High"
"111",0.276,0.255,0.81,0.27,0.33,"Low"
"112",0.258,0.31,0.88,0.4,0.3,"Low"
"113",0.32,0.28,0.72,0.89,0.58,"High"
"114",0.329,0.55,0.02,0.4,0.79,"High"
"115",0.295,0.59,0.29,0.31,0.55,"Middle"
"116",0.285,0.64,0.18,0.61,0.45,"Middle"
"117",0.265,0.6,0.28,0.66,0.07,"very_low"
"118",0.315,0.69,0.28,0.8,0.7,"High"
"119",0.28,0.78,0.44,0.17,0.66,"Middle"
"120",0.325,0.61,0.46,0.32,0.81,"High"
"121",0.28,0.65,0.4,0.65,0.13,"Low"
"122",0.255,0.75,0.35,0.72,0.25,"Low"
"123",0.305,0.55,0.5,0.11,0.333,"Low"
"124",0.3,0.85,0.54,0.25,0.83,"Middle"
"125",0.325,0.9,0.52,0.49,0.76,"High"
"126",0.312,0.8,0.67,0.92,0.5,"High"
"127",0.299,0.7,0.95,0.22,0.66,"High"
"128",0.265,0.76,0.8,0.28,0.28,"Low"
"129",0.255,0.72,0.72,0.63,0.14,"Low"
"130",0.295,0.6,0.72,0.88,0.28,"Middle"
"131",0.39,0.05,0.02,0.06,0.34,"Low"
"132",0.4,0.18,0.26,0.26,0.67,"Middle"
"133",0.45,0.04,0.18,0.55,0.07,"very_low"
"134",0.48,0.12,0.28,0.7,0.71,"High"
"135",0.4,0.12,0.41,0.1,0.65,"Middle"
"136",0.41,0.18,0.33,0.31,0.5,"Middle"
"137",0.38,0.1,0.4,0.48,0.26,"Low"
"138",0.37,0.06,0.32,0.78,0.1,"Low"
"139",0.41,0.09,0.58,0.18,0.58,"Middle"
"140",0.38,0.01,0.53,0.27,0.3,"Low"
"141",0.33,0.04,0.5,0.55,0.1,"very_low"
"142",0.42,0.15,0.66,0.78,0.4,"Middle"
"143",0.44,0.08,0.8,0.22,0.56,"Middle"
"144",0.39,0.15,0.81,0.22,0.29,"Low"
"145",0.42,0.21,0.87,0.56,0.48,"Middle"
"146",0.46,0.2,0.76,0.95,0.65,"High"
"147",0.365,0.243,0.19,0.24,0.35,"Low"
"148",0.33,0.27,0.2,0.33,0.1,"very_low"
"149",0.345,0.299,0.1,0.64,0.13,"Low"
"150",0.48,0.3,0.15,0.65,0.77,"High"
"151",0.49,0.245,0.38,0.14,0.86,"High"
"152",0.334,0.295,0.33,0.32,0.3,"Low"
"153",0.36,0.29,0.37,0.48,0.13,"very_low"
"154",0.39,0.26,0.39,0.77,0.14,"Low"
"155",0.43,0.305,0.51,0.09,0.64,"Middle"
"156",0.44,0.32,0.55,0.33,0.52,"Middle"
"157",0.45,0.299,0.63,0.36,0.51,"Middle"
"158",0.495,0.276,0.58,0.77,0.83,"High"
"159",0.465,0.258,0.73,0.18,0.59,"Middle"
"160",0.475,0.32,0.79,0.31,0.54,"Middle"
"161",0.348,0.329,0.83,0.61,0.18,"Low"
"162",0.385,0.26,0.76,0.84,0.3,"Middle"
"163",0.445,0.39,0.02,0.24,0.88,"High"
"164",0.43,0.45,0.27,0.27,0.89,"High"
"165",0.33,0.34,0.1,0.49,0.12,"very_low"
"166",0.4,0.33,0.12,0.3,0.9,"High"
"167",0.34,0.4,0.38,0.2,0.61,"Middle"
"168",0.38,0.36,0.46,0.49,0.78,"High"
"169",0.35,0.38,0.32,0.6,0.16,"Low"
"170",0.41,0.49,0.34,0.21,0.92,"High"
"171",0.42,0.36,0.63,0.04,0.25,"Low"
"172",0.43,0.38,0.62,0.33,0.49,"Middle"
"173",0.44,0.33,0.59,0.53,0.85,"High"
"174",0.4,0.42,0.58,0.75,0.16,"Low"
"175",0.46,0.44,0.89,0.12,0.66,"Middle"
"176",0.38,0.39,0.79,0.33,0.3,"Low"
"177",0.39,0.42,0.83,0.65,0.19,"Low"
"178",0.49,0.34,0.88,0.75,0.71,"High"
"179",0.46,0.64,0.22,0.22,0.6,"Middle"
"180",0.44,0.55,0.11,0.26,0.83,"High"
"181",0.365,0.68,0.1,0.63,0.18,"Low"
"182",0.45,0.65,0.19,0.99,0.55,"High"
"183",0.46,0.78,0.38,0.24,0.89,"High"
"184",0.37,0.55,0.41,0.29,0.3,"Low"
"185",0.38,0.59,0.31,0.62,0.2,"Low"
"186",0.49,0.64,0.34,0.78,0.21,"Low"
"187",0.495,0.82,0.67,0.01,0.93,"High"
"188",0.44,0.69,0.61,0.29,0.57,"Middle"
"189",0.365,0.57,0.59,0.55,0.25,"Low"
"190",0.49,0.9,0.52,0.9,0.47,"High"
"191",0.445,0.7,0.82,0.16,0.64,"Middle"
"192",0.42,0.7,0.72,0.3,0.8,"High"
"193",0.37,0.6,0.77,0.4,0.5,"Middle"
"194",0.4,0.61,0.71,0.88,0.67,"High"
"195",0.6,0.14,0.22,0.11,0.66,"Middle"
"196",0.55,0.1,0.27,0.25,0.29,"Low"
"197",0.68,0.19,0.19,0.48,0.1,"very_low"
"198",0.73,0.2,0.07,0.72,0.26,"Low"
"199",0.78,0.15,0.38,0.18,0.63,"Middle"
"200",0.55,0.1,0.34,0.3,0.1,"very_low"
"201",0.59,0.18,0.31,0.55,0.09,"very_low"
"202",0.64,0.09,0.33,0.65,0.5,"Middle"
"203",0.6,0.19,0.55,0.08,0.1,"very_low"
"204",0.69,0.02,0.62,0.3,0.29,"Low"
"205",0.78,0.21,0.68,0.65,0.75,"High"
"206",0.62,0.14,0.52,0.81,0.15,"Low"
"207",0.7,0.18,0.88,0.09,0.66,"Middle"
"208",0.75,0.015,0.78,0.31,0.53,"Middle"
"209",0.55,0.17,0.71,0.48,0.11,"very_low"
"210",0.85,0.05,0.91,0.8,0.68,"High"
"211",0.78,0.27,0.13,0.14,0.62,"Middle"
"212",0.8,0.29,0.06,0.31,0.51,"Middle"
"213",0.9,0.26,0.19,0.58,0.79,"High"
"214",0.76,0.258,0.07,0.83,0.34,"Middle"
"215",0.72,0.32,0.48,0.2,0.6,"Middle"
"216",0.6,0.251,0.39,0.29,0.3,"Low"
"217",0.52,0.288,0.32,0.5,0.3,"Low"
"218",0.6,0.31,0.31,0.87,0.58,"High"
"219",0.51,0.255,0.55,0.17,0.64,"Middle"
"220",0.58,0.295,0.62,0.28,0.3,"Low"
"221",0.61,0.258,0.56,0.62,0.24,"Low"
"222",0.77,0.267,0.59,0.78,0.28,"Middle"
"223",0.79,0.28,0.88,0.2,0.66,"Middle"
"224",0.68,0.27,0.78,0.31,0.57,"Middle"
"225",0.58,0.299,0.73,0.63,0.21,"Low"
"226",0.77,0.29,0.74,0.82,0.68,"High"
"227",0.71,0.475,0.13,0.23,0.59,"Middle"
"228",0.58,0.348,0.06,0.29,0.31,"Low"
"229",0.88,0.335,0.19,0.55,0.78,"High"
"230",0.99,0.49,0.07,0.7,0.69,"High"
"231",0.73,0.43,0.32,0.12,0.65,"Middle"
"232",0.61,0.33,0.36,0.28,0.28,"Low"
"233",0.51,0.4,0.4,0.59,0.23,"Low"
"234",0.83,0.44,0.49,0.91,0.66,"High"
"235",0.66,0.38,0.55,0.15,0.62,"Middle"
"236",0.58,0.35,0.51,0.27,0.3,"Low"
"237",0.523,0.41,0.55,0.6,0.22,"Low"
"238",0.66,0.36,0.56,0.4,0.83,"High"
"239",0.62,0.37,0.81,0.13,0.64,"Middle"
"240",0.52,0.44,0.82,0.3,0.52,"Middle"
"241",0.5,0.4,0.73,0.62,0.2,"Low"
"242",0.71,0.46,0.95,0.78,0.86,"High"
"243",0.64,0.55,0.15,0.18,0.63,"Middle"
"244",0.52,0.85,0.06,0.27,0.25,"Low"
"245",0.62,0.62,0.24,0.65,0.25,"Middle"
"246",0.91,0.58,0.26,0.89,0.88,"High"
"247",0.62,0.67,0.39,0.1,0.66,"Middle"
"248",0.58,0.58,0.31,0.29,0.29,"Low"
"249",0.89,0.68,0.49,0.65,0.9,"High"
"250",0.72,0.6,0.45,0.79,0.45,"Middle"
"251",0.68,0.63,0.65,0.09,0.66,"Middle"
"252",0.56,0.6,0.6,0.31,0.5,"Middle"
"253",0.54,0.51,0.55,0.64,0.19,"Low"
"254",0.61,0.78,0.69,0.92,0.58,"High"
"255",0.78,0.61,0.71,0.19,0.6,"Middle"
"256",0.54,0.82,0.71,0.29,0.77,"High"
"257",0.5,0.75,0.81,0.61,0.26,"Middle"
"258",0.66,0.9,0.76,0.87,0.74,"High"
"259",0,0.1,0.5,0.26,0.05,"very_low"
"260",0.05,0.05,0.55,0.6,0.14,"Low"
"261",0.08,0.18,0.63,0.6,0.85,"High"
"262",0.2,0.2,0.68,0.67,0.85,"High"
"263",0.22,0.22,0.9,0.3,0.9,"High"
"264",0.14,0.14,0.7,0.5,0.3,"Low"
"265",0.16,0.16,0.8,0.5,0.5,"Middle"
"266",0.12,0.12,0.75,0.68,0.15,"Low"
"267",0.2,0.2,0.88,0.77,0.8,"High"
"268",0.16,0.25,0.01,0.1,0.07,"very_low"
"269",0.11,0.29,0.2,0.05,0.66,"Middle"
"270",0.18,0.26,0.05,0.4,0.04,"very_low"
"271",0.21,0.32,0.25,0.5,0.8,"High"
"272",0.13,0.28,0.18,0.75,0.32,"Middle"
"273",0.23,0.29,0.45,0.18,0.88,"High"
"274",0.1,0.27,0.35,0.45,0.05,"very_low"
"275",0.22,0.31,0.42,0.88,0.8,"High"
"276",0,0.25,0.5,0.09,0.07,"very_low"
"277",0.05,0.29,0.58,0.14,0.32,"Low"
"278",0.1,0.3,0.58,0.28,0.55,"Middle"
"279",0.2,0.32,0.65,0.31,0.89,"High"
"280",0.19,0.28,0.57,0.58,0.17,"Low"
"281",0.11,0.26,0.56,0.68,0.27,"Low"
"282",0.12,0.28,0.7,0.16,0.32,"Low"
"283",0.18,0.29,0.78,0.15,0.61,"Middle"
"284",0.2,0.25,0.7,0.25,0.03,"very_low"
"285",0.16,0.28,0.72,0.27,0.32,"Low"
"286",0.11,0.3,0.79,0.8,0.32,"Middle"
"287",0.18,0.31,0.81,0.7,0.4,"Middle"
"288",0.1,0.33,0.02,0,0.25,"very_low"
"289",0.18,0.37,0.11,0.28,0.3,"Low"
"290",0.13,0.4,0.17,0.25,0.38,"Low"
"291",0.11,0.42,0.38,0.82,0.31,"Middle"
"292",0.22,0.48,0.47,0.78,0.81,"High"
"293",0.14,0.38,0.59,0.11,0.32,"Low"
"294",0.15,0.42,0.6,0.15,0.62,"Middle"
"295",0.09,0.38,0.54,0.69,0.21,"Low"
"296",0.2,0.49,0.68,0.76,0.78,"High"
"297",0.12,0.62,0.21,0.3,0.59,"Middle"
"298",0.14,0.65,0.19,0.26,0.66,"Middle"
"299",0.16,0.51,0.09,0.38,0.1,"very_low"
"300",0.12,0.56,0.13,0.48,0.32,"Low"
"301",0.2,0.85,0.24,0.79,0.85,"High"
"302",0.16,0.52,0.3,0.09,0.11,"very_low"
"303",0.21,0.78,0.42,0.32,0.84,"High"
"304",0.08,0.56,0.33,0.4,0.1,"very_low"
"305",0.14,0.61,0.39,0.56,0.56,"Middle"
"306",0.18,0.7,0.41,0.67,0.33,"Middle"
"307",0.22,0.8,0.44,0.78,0.88,"High"
"308",0.1,0.6,0.51,0.1,0.01,"very_low"
"309",0.15,0.67,0.56,0.07,0.66,"Middle"
"310",0,0.62,0.52,0.26,0.07,"very_low"
"311",0.11,0.88,0.67,0.66,0.89,"High"
"312",0.08,0.56,0.7,0.14,0.1,"very_low"
"313",0.21,0.9,0.9,0.22,0.92,"High"
"314",0.08,0.58,0.71,0.27,0.09,"very_low"
"315",0.13,0.62,0.77,0.28,0.31,"Low"
"316",0.21,0.88,0.87,0.56,0.95,"High"
"317",0.22,0.86,0.83,0.89,0.65,"High"
"318",0.2,0.78,0.91,0.82,0.85,"High"
"319",0.25,0,0.1,0.12,0.37,"Low"
"320",0.29,0.1,0.17,0.74,0.52,"Middle"
"321",0.3,0.18,0.23,0.9,0.84,"High"
"322",0.32,0.02,0.34,0.13,0.31,"Low"
"323",0.28,0.12,0.38,0.17,0.6,"Middle"
"324",0.26,0.09,0.33,0.28,0.32,"Low"
"325",0.28,0.16,0.41,0.51,0.56,"Middle"
"326",0.26,0.12,0.34,0.68,0.29,"Low"
"327",0.31,0.2,0.46,0.78,0.83,"High"
"328",0.25,0.05,0.53,0.1,0.12,"very_low"
"329",0.32,0.15,0.66,0.24,0.82,"High"
"330",0.28,0.08,0.52,0.25,0.08,"very_low"
"331",0.33,0.2,0.64,0.59,0.94,"High"
"332",0.31,0.15,0.58,0.76,0.52,"Middle"
"333",0.28,0.06,0.7,0.27,0.32,"Low"
"334",0.3,0.16,0.89,0.32,0.95,"High"
"335",0.27,0.03,0.76,0.59,0.23,"Low"
"336",0.32,0.2,0.84,0.81,0.8,"High"
"337",0.31,0.32,0.29,0.31,0.96,"High"
"338",0.28,0.29,0.19,0.37,0.58,"Middle"
"339",0.32,0.31,0.26,0.83,0.77,"High"
"340",0.25,0.28,0.3,0.001,0.25,"very_low"
"341",0.26,0.26,0.31,0.26,0.13,"very_low"
"342",0.27,0.29,0.34,0.28,0.32,"Low"
"343",0.28,0.28,0.38,0.29,0.62,"Middle"
"344",0.26,0.26,0.35,0.62,0.24,"Low"
"345",0.3,0.32,0.43,0.87,0.83,"High"
"346",0.25,0.26,0.51,0.04,0.13,"very_low"
"347",0.28,0.27,0.56,0.14,0.31,"Low"
"348",0.31,0.32,0.69,0.3,0.98,"High"
"349",0.28,0.29,0.57,0.6,0.27,"Low"
"350",0.27,0.28,0.59,0.69,0.26,"Middle"
"351",0.25,0.28,0.77,0.11,0.31,"Low"
"352",0.25,0.54,0.31,0.25,0.08,"very_low"
"353",0.29,0.66,0.35,0.28,0.31,"Low"
"354",0.29,0.74,0.39,0.41,0.54,"Middle"
"355",0.31,0.82,0.47,0.4,0.99,"High"
"356",0.28,0.55,0.38,0.9,0.22,"Low"
"357",0.33,0.04,0.02,0.12,0.11,"very_low"
"358",0.37,0.09,0.1,0.13,0.32,"Low"
"359",0.4,0.15,0.16,0.3,0.58,"Middle"
"360",0.37,0.07,0.1,0.41,0.3,"Low"
"361",0.41,0.11,0.21,0.44,0.57,"Middle"
"362",0.42,0.13,0.15,0.94,0.3,"Middle"
"363",0.41,0.04,0.33,0.26,0.12,"very_low"
"364",0.38,0.09,0.37,0.28,0.32,"Low"
"365",0.42,0.29,0.14,0.03,0.68,"Middle"
"366",0.4,0.3,0.18,0.29,0.59,"Middle"
"367",0.38,0.33,0.1,0.07,0.4,"Low"
"368",0.47,0.47,0.25,0.96,0.61,"High"
"369",0.41,0.37,0.79,0.12,0.32,"Low"
"370",0.42,0.39,0.78,0.32,0.2,"Low"
"371",0.36,0.52,0.07,0.1,0.15,"very_low"
"372",0.4,0.59,0.77,0.99,0.24,"Middle"
"373",0.43,0.65,0.76,0.94,0.29,"Middle"
"374",0.6,0.08,0.13,0.14,0.32,"Low"
"375",0.8,0.24,0.23,0.29,0.98,"High"
"376",0.65,0.09,0.16,0.49,0.31,"Low"
"377",0.68,0.16,0.2,0.59,0.6,"Middle"
"378",0.75,0.22,0.24,0.96,0.62,"High"
"379",0.87,0.23,0.25,0.85,0.8,"High"
"380",0.52,0.08,0.33,0.07,0.09,"very_low"
"381",0.62,0.12,0.36,0.36,0.32,"Low"
"382",0.68,0.15,0.58,0.35,0.6,"Middle"
"383",0.54,0.25,0.07,0.09,0.11,"very_low"
"384",0.9,0.31,0.24,0.3,0.97,"High"
"385",0.56,0.27,0.11,0.59,0.22,"Low"
"386",0.85,0.32,0.22,0.87,0.79,"High"
"387",0.52,0.28,0.32,0.1,0.1,"very_low"
"388",0.78,0.47,0.24,0.3,0.93,"High"
"389",0.56,0.35,0.1,0.62,0.23,"Low"
"390",0.61,0.38,0.09,0.38,0.3,"Low"
"391",0.78,0.47,0.29,0.98,0.59,"High"
"392",0.58,0.4,0.32,0.22,0.24,"Low"
"393",0.68,0.43,0.6,0.47,0.55,"Middle"
"394",0.57,0.37,0.75,0.27,0.32,"Low"
"395",0.62,0.56,0.11,0.24,0.22,"Low"
"396",0.64,0.58,0.14,0.32,0.21,"Low"
"397",0.64,0.59,0.12,0.58,0.24,"Low"
"398",0.68,0.61,0.34,0.31,0.23,"Low"
"399",0.9,0.78,0.62,0.32,0.89,"High"
"400",0.85,0.82,0.66,0.83,0.83,"High"
"401",0.56,0.6,0.77,0.13,0.32,"Low"
"402",0.66,0.68,0.81,0.57,0.57,"Middle"
"403",0.68,0.64,0.79,0.97,0.24,"Middle"
